,DOCTYPE,DOCNUM,ITEMNUM,COUNTRY,GRCNAME1,MATERIAL,MTEXT,BRANCH,QUANTITY,SPRICE,GRANDTOTAL,CURRENCY,DUE_DATE,DELIVERED_DATE,DELIVERED_QTY,LATENCY_SHARE,GROUP,Period,GRANDTOTAL_NEW
733,SD,17121709,160,TH,EMERSON ELECTRIC (THAILAND) LIMITED,510-0483-00,CHECK VALVE ASY,Non-A,200,4463.0,892.6,USD,2018-01-09,2017-12-19,200,-21.0,CHKVLF,2018-01,748.0724103251761
1290,SD,17121830,220,UK,IFS Global Logistics Ltd,036-1302-00,ROTALOC FITTING DICHARGE,Non-A,50,2446.0,122.3,EUR,2018-01-05,2018-01-05,50,0.0,CHKVLF,2018-01,122.3
1291,SD,17121830,230,UK,IFS Global Logistics Ltd,036-1302-00,ROTALOC FITTING DICHARGE,Non-A,50,2446.0,122.3,EUR,2018-01-05,2018-01-05,50,0.0,CHKVLF,2018-01,122.3
1292,SD,17121830,240,UK,IFS Global Logistics Ltd,036-1302-00,ROTALOC FITTING DICHARGE,Non-A,50,2446.0,122.3,EUR,2018-01-05,2018-01-05,50,0.0,CHKVLF,2018-01,122.3
1293,SD,17121830,250,UK,IFS Global Logistics Ltd,036-1302-00,ROTALOC FITTING DICHARGE,Non-A,50,2446.0,122.3,EUR,2018-01-05,2018-01-05,50,0.0,CHKVLF,2018-01,122.3
1294,SD,17121830,260,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
1295,SD,17121830,270,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
1296,SD,17121830,280,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
1297,SD,17121830,290,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
1298,SD,17121830,300,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
1299,SD,17121830,310,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
1300,SD,17121830,320,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
1301,SD,17121830,330,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
1302,SD,17121830,340,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
1305,SD,17121830,370,UK,IFS Global Logistics Ltd,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,200,2661.0,532.2,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,532.2
1306,SD,17121830,380,UK,IFS Global Logistics Ltd,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,200,2661.0,532.2,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,532.2
1307,SD,17121830,390,UK,IFS Global Logistics Ltd,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,200,2661.0,532.2,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,532.2
1308,SD,17121830,400,UK,IFS Global Logistics Ltd,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,200,2661.0,532.2,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,532.2
1309,SD,17121830,410,UK,IFS Global Logistics Ltd,510-0419-00,VALVE-CHECKASY,Non-A,200,3089.0,617.8,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,617.8
