DOCTYPE,DOCNUM,ITEMNUM,COUNTRY,GRCNAME1,MATERIAL,MTEXT,BRANCH,QUANTITY,SPRICE,GRANDTOTAL,CURRENCY,DUE_DATE,DELIVERED_DATE,DELIVERED_QTY,LATENCY_SHARE,GROUP,Period,GRANDTOTAL_NEW
SD,17121709,160,TH,EMERSON ELECTRIC (THAILAND) LIMITED,510-0483-00,CHECK VALVE ASY,Non-A,200,4463.0,892.6,USD,2018-01-09,2017-12-19,200,-21.0,CHKVLF,2018-01,748.0724103251761
SD,17121830,220,UK,IFS Global Logistics Ltd,036-1302-00,ROTALOC FITTING DICHARGE,Non-A,50,2446.0,122.3,EUR,2018-01-05,2018-01-05,50,0.0,CHKVLF,2018-01,122.3
SD,17121830,230,UK,IFS Global Logistics Ltd,036-1302-00,ROTALOC FITTING DICHARGE,Non-A,50,2446.0,122.3,EUR,2018-01-05,2018-01-05,50,0.0,CHKVLF,2018-01,122.3
SD,17121830,240,UK,IFS Global Logistics Ltd,036-1302-00,ROTALOC FITTING DICHARGE,Non-A,50,2446.0,122.3,EUR,2018-01-05,2018-01-05,50,0.0,CHKVLF,2018-01,122.3
SD,17121830,250,UK,IFS Global Logistics Ltd,036-1302-00,ROTALOC FITTING DICHARGE,Non-A,50,2446.0,122.3,EUR,2018-01-05,2018-01-05,50,0.0,CHKVLF,2018-01,122.3
SD,17121830,260,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
SD,17121830,270,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
SD,17121830,280,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
SD,17121830,290,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
SD,17121830,300,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
SD,17121830,310,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
SD,17121830,320,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
SD,17121830,330,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
SD,17121830,340,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-05,2018-01-05,100,0.0,CHKVLF,2018-01,115.1
SD,17121830,370,UK,IFS Global Logistics Ltd,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,200,2661.0,532.2,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,532.2
SD,17121830,380,UK,IFS Global Logistics Ltd,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,200,2661.0,532.2,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,532.2
SD,17121830,390,UK,IFS Global Logistics Ltd,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,200,2661.0,532.2,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,532.2
SD,17121830,400,UK,IFS Global Logistics Ltd,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,200,2661.0,532.2,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,532.2
SD,17121830,410,UK,IFS Global Logistics Ltd,510-0419-00,VALVE-CHECKASY,Non-A,200,3089.0,617.8,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,617.8
SD,17121830,420,UK,IFS Global Logistics Ltd,510-0419-00,VALVE-CHECKASY,Non-A,200,3089.0,617.8,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,617.8
SD,17121830,430,UK,IFS Global Logistics Ltd,510-0635-00,REED VALVE ASSEMBLY ZH-K1P,Non-A,300,665.0,199.5,EUR,2018-01-05,2018-01-05,300,0.0,CHKVLF,2018-01,199.5
SD,17121830,440,UK,IFS Global Logistics Ltd,510-0635-00,REED VALVE ASSEMBLY ZH-K1P,Non-A,300,665.0,199.5,EUR,2018-01-05,2018-01-05,300,0.0,CHKVLF,2018-01,199.5
SD,17121830,450,UK,IFS Global Logistics Ltd,510-0635-00,REED VALVE ASSEMBLY ZH-K1P,Non-A,300,665.0,199.5,EUR,2018-01-05,2018-01-05,300,0.0,CHKVLF,2018-01,199.5
SD,17121830,460,UK,IFS Global Logistics Ltd,510-0643-00,VALVE-CHECKASY,Non-A,200,2073.0,414.6,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,414.6
SD,17121830,470,UK,IFS Global Logistics Ltd,510-0643-00,VALVE-CHECKASY,Non-A,200,2073.0,414.6,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,414.6
SD,17121830,480,UK,IFS Global Logistics Ltd,510-0643-00,VALVE-CHECKASY,Non-A,200,2073.0,414.6,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,414.6
SD,17121830,490,UK,IFS Global Logistics Ltd,510-0644-00,VALVE-CHECK ASY,Non-A,200,2011.0,402.2,EUR,2018-01-05,2018-01-05,200,0.0,CHKVLF,2018-01,402.2
SD,17121830,500,UK,IFS Global Logistics Ltd,510-0723-00,VALVE-CHECKASY,Non-A,50,3989.0,199.45,EUR,2018-01-05,2018-01-05,50,0.0,CHKVLF,2018-01,199.45
SD,17121830,510,UK,IFS Global Logistics Ltd,510-0723-00,VALVE-CHECKASY,Non-A,50,3989.0,199.45,EUR,2018-01-05,2018-01-05,50,0.0,CHKVLF,2018-01,199.45
SD,17121855,10,BE,EMERSON CLIMATE TEC. - BELGIUM,510-0717-00,VALVE-CHECKASY,Non-A,40,4172.0,166.88,EUR,2018-01-05,2018-01-05,40,0.0,CHKVLF,2018-01,166.88
SD,17121855,140,BE,EMERSON CLIMATE TEC. - BELGIUM,510-0717-00,VALVE-CHECKASY,Non-A,40,4172.0,166.88,EUR,2018-01-05,2018-01-05,40,0.0,CHKVLF,2018-01,166.88
SD,17121855,150,BE,EMERSON CLIMATE TEC. - BELGIUM,510-0717-00,VALVE-CHECKASY,Non-A,40,4172.0,166.88,EUR,2018-01-05,2018-01-05,40,0.0,CHKVLF,2018-01,166.88
SD,17121855,160,BE,EMERSON CLIMATE TEC. - BELGIUM,510-0717-00,VALVE-CHECKASY,Non-A,40,4172.0,166.88,EUR,2018-01-05,2018-01-05,40,0.0,CHKVLF,2018-01,166.88
SD,17121873,90,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0671-00,VALVE-CHECKASY,Non-A,120,5283.0,633.96,USD,2018-01-03,2018-01-03,120,0.0,CHKVLF,2018-01,527.2893620560593
SD,17121873,170,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0671-00,VALVE-CHECKASY,Non-A,480,5283.0,2535.84,USD,2018-01-03,2018-01-03,480,0.0,CHKVLF,2018-01,2109.157448224237
SD,17121873,180,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0717-00,VALVE-CHECKASY,Non-A,160,5043.0,806.88,USD,2018-01-03,2018-01-03,160,0.0,CHKVLF,2018-01,671.1136987440739
SD,17121873,190,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0643-00,VALVE-CHECKASY,Non-A,700,3331.0,2331.7,USD,2018-01-03,2018-01-03,700,0.0,CHKVLF,2018-01,1939.3662147550526
SD,17121873,220,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0643-00,VALVE-CHECKASY,Non-A,200,3331.0,666.2,USD,2018-01-03,2018-01-03,200,0.0,CHKVLF,2018-01,554.104632787158
SD,17121874,30,USA,SCROLL COMPRESSORS LLC PLANT9,510-0817-00,VALVE CHECK ASSM,Non-A,1700,3249.0,5523.3,USD,2018-01-03,2018-01-03,1700,0.0,CHKVLF,2018-01,4593.944938867171
SD,17121874,40,USA,SCROLL COMPRESSORS LLC PLANT9,510-0817-00,VALVE CHECK ASSM,Non-A,1800,3249.0,5848.2,USD,2018-01-03,2018-01-03,1800,0.0,CHKVLF,2018-01,4864.1769940946515
SD,17121874,50,USA,SCROLL COMPRESSORS LLC PLANT9,510-0817-00,VALVE CHECK ASSM,Non-A,100,3249.0,324.9,USD,2018-01-03,2018-01-03,100,0.0,CHKVLF,2018-01,270.23205522748066
SD,18012158,10,UK,Copeland Limited,510-0723-00,VALVE-CHECKASY,Non-A,100,3989.0,398.9,EUR,2018-01-09,2018-01-09,100,0.0,CHKVLF,2018-01,398.9
SD,18012160,70,TH,EMERSON ELECTRIC (THAILAND) LIMITED,036-0829-00,FITTING - DISCHARGE,Non-A,1000,3007.0,3007.0,USD,2018-02-02,2018-02-02,1000,0.0,CHKVLF,2018-02,2407.1405699647776
SD,18012163,10,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0643-00,VALVE-CHECKASY,Non-A,150,3331.0,499.65,USD,2018-01-10,2018-01-10,150,0.0,CHKVLF,2018-01,416.65276851234154
SD,18012163,20,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0643-00,VALVE-CHECKASY,Non-A,350,3331.0,1165.85,USD,2018-01-10,2018-01-10,350,0.0,CHKVLF,2018-01,972.1897931954636
SD,18012163,30,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0643-00,VALVE-CHECKASY,Non-A,350,3331.0,1165.85,USD,2018-01-10,2018-01-10,350,0.0,CHKVLF,2018-01,972.1897931954636
SD,18012163,40,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0643-00,VALVE-CHECKASY,Non-A,100,3331.0,333.1,USD,2018-01-10,2018-01-10,100,0.0,CHKVLF,2018-01,277.76851234156106
SD,18012196,130,UK,IFS Global Logistics Ltd,036-1302-00,ROTALOC FITTING DICHARGE,Non-A,50,2446.0,122.3,EUR,2018-01-19,2018-01-19,50,0.0,CHKVLF,2018-01,122.3
SD,18012196,140,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012196,150,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012196,160,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012196,170,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012196,180,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012196,190,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012196,200,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012196,210,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012196,220,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012196,230,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012196,240,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012196,250,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012196,260,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012196,290,UK,IFS Global Logistics Ltd,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,200,2661.0,532.2,EUR,2018-01-19,2018-01-19,200,0.0,CHKVLF,2018-01,532.2
SD,18012196,300,UK,IFS Global Logistics Ltd,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,200,2661.0,532.2,EUR,2018-01-19,2018-01-19,200,0.0,CHKVLF,2018-01,532.2
SD,18012196,310,UK,IFS Global Logistics Ltd,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,200,2661.0,532.2,EUR,2018-01-19,2018-01-19,200,0.0,CHKVLF,2018-01,532.2
SD,18012196,320,UK,IFS Global Logistics Ltd,510-0419-00,VALVE-CHECKASY,Non-A,200,3089.0,617.8,EUR,2018-01-19,2018-01-19,200,0.0,CHKVLF,2018-01,617.8
SD,18012196,330,UK,IFS Global Logistics Ltd,510-0635-00,REED VALVE ASSEMBLY ZH-K1P,Non-A,300,665.0,199.5,EUR,2018-01-19,2018-01-19,300,0.0,CHKVLF,2018-01,199.5
SD,18012196,340,UK,IFS Global Logistics Ltd,510-0635-00,REED VALVE ASSEMBLY ZH-K1P,Non-A,300,665.0,199.5,EUR,2018-01-19,2018-01-19,300,0.0,CHKVLF,2018-01,199.5
SD,18012196,350,UK,IFS Global Logistics Ltd,510-0643-00,VALVE-CHECKASY,Non-A,200,2073.0,414.6,EUR,2018-01-19,2018-01-19,200,0.0,CHKVLF,2018-01,414.6
SD,18012196,360,UK,IFS Global Logistics Ltd,510-0723-00,VALVE-CHECKASY,Non-A,50,3989.0,199.45,EUR,2018-01-19,2018-01-19,50,0.0,CHKVLF,2018-01,199.45
SD,18012196,370,UK,IFS Global Logistics Ltd,510-0723-00,VALVE-CHECKASY,Non-A,50,3989.0,199.45,EUR,2018-01-19,2018-01-19,50,0.0,CHKVLF,2018-01,199.45
SD,18012196,380,UK,IFS Global Logistics Ltd,510-0723-00,VALVE-CHECKASY,Non-A,50,3989.0,199.45,EUR,2018-01-19,2018-01-19,50,0.0,CHKVLF,2018-01,199.45
SD,18012196,390,UK,IFS Global Logistics Ltd,510-0724-00,VALVE-DISCHARGE,Non-A,300,975.0,292.5,EUR,2018-01-19,2018-01-19,300,0.0,CHKVLF,2018-01,292.5
SD,18012196,400,UK,IFS Global Logistics Ltd,510-0728-01,VALVE-LARGE PORT HVE REED ASSM,Non-A,300,842.0,252.6,EUR,2018-01-19,2018-01-19,300,0.0,CHKVLF,2018-01,252.6
SD,18012218,70,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0717-00,VALVE-CHECKASY,Non-A,160,5043.0,806.88,USD,2018-01-16,2018-01-18,160,2.0,CHKVLF,2018-01,659.7547015535569
SD,18012218,90,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0671-00,VALVE-CHECKASY,Non-A,360,5283.0,1901.88,USD,2018-01-16,2018-01-18,360,2.0,CHKVLF,2018-01,1555.0940310711367
SD,18012218,130,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0671-00,VALVE-CHECKASY,Non-A,120,5283.0,633.96,USD,2018-01-16,2018-01-18,120,2.0,CHKVLF,2018-01,518.3646770237123
SD,18012218,180,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,700,3830.0,2681.0,USD,2018-01-16,2018-01-18,700,2.0,CHKVLF,2018-01,2192.1504497138185
SD,18012218,190,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0671-00,VALVE-CHECKASY,Non-A,240,5283.0,1267.92,USD,2018-01-16,2018-01-18,240,2.0,CHKVLF,2018-01,1036.7293540474245
SD,18012218,200,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0717-00,VALVE-CHECKASY,Non-A,160,5043.0,806.88,USD,2018-01-16,2018-01-18,160,2.0,CHKVLF,2018-01,659.7547015535569
SD,18012218,250,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0671-00,VALVE-CHECKASY,Non-A,120,5283.0,633.96,USD,2018-01-16,2018-01-18,120,2.0,CHKVLF,2018-01,518.3646770237123
SD,18012218,260,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0419-00,VALVE-CHECKASY,Non-A,150,4462.0,669.3,USD,2018-01-16,2018-01-18,150,2.0,CHKVLF,2018-01,547.2608340147178
SD,18012218,290,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0419-00,VALVE-CHECKASY,Non-A,150,4462.0,669.3,USD,2018-01-16,2018-01-18,150,2.0,CHKVLF,2018-01,547.2608340147178
SD,18012218,330,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0643-00,VALVE-CHECKASY,Non-A,1050,3331.0,3497.55,USD,2018-01-16,2018-01-18,1050,2.0,CHKVLF,2018-01,2859.811937857727
SD,18012218,340,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0644-00,VALVE-CHECK ASY,Non-A,850,3235.0,2749.75,USD,2018-01-16,2018-01-18,850,2.0,CHKVLF,2018-01,2248.3646770237124
SD,18012218,350,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0671-00,VALVE-CHECKASY,Non-A,240,5283.0,1267.92,USD,2018-01-16,2018-01-18,240,2.0,CHKVLF,2018-01,1036.7293540474245
SD,18012218,360,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0717-00,VALVE-CHECKASY,Non-A,160,5043.0,806.88,USD,2018-01-16,2018-01-18,160,2.0,CHKVLF,2018-01,659.7547015535569
SD,18012219,10,USA,SCROLL COMPRESSORS LLC PLANT9,510-0817-00,VALVE CHECK ASSM,Non-A,1700,3249.0,5523.3,USD,2018-01-16,2018-01-18,1700,2.0,CHKVLF,2018-01,4516.189697465249
SD,18012219,30,USA,SCROLL COMPRESSORS LLC PLANT9,510-0817-00,VALVE CHECK ASSM,Non-A,1800,3249.0,5848.2,USD,2018-01-16,2018-01-18,1800,2.0,CHKVLF,2018-01,4781.847914963205
SD,18012219,40,USA,SCROLL COMPRESSORS LLC PLANT9,510-0817-00,VALVE CHECK ASSM,Non-A,100,3249.0,324.9,USD,2018-01-16,2018-01-18,100,2.0,CHKVLF,2018-01,265.65821749795583
SD,18012254,10,USA,EMERSONCLIM.TEC.(U.S.A)PLANT08,510-0644-00,VALVE-CHECK ASY,Non-A,700,3235.0,2264.5,USD,2018-01-16,2018-01-16,700,0.0,CHKVLF,2018-01,1851.5944399018806
SD,18012277,120,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012277,130,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012277,140,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012277,150,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012277,160,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012277,170,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012277,180,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012277,190,UK,IFS Global Logistics Ltd,036-1520-00,FITTING-SIGHT GLASS,Non-A,100,1151.0,115.1,EUR,2018-01-19,2018-01-19,100,0.0,CHKVLF,2018-01,115.1
SD,18012277,240,UK,IFS Global Logistics Ltd,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,200,2661.0,532.2,EUR,2018-01-19,2018-01-19,200,0.0,CHKVLF,2018-01,532.2
SD,18012277,250,UK,IFS Global Logistics Ltd,510-0413-00,VALVE-CHECK ROTALOCK ASSM,Non-A,200,2661.0,532.2,EUR,2018-01-19,2018-01-19,200,0.0,CHKVLF,2018-01,532.2
